SOURCE_NAME,EPOCH_VLBI,RA_VLBI,RA_ERR_VLBI,DEC_VLBI,DEC_ERR_VLBI,PI_VLBI,PI_ERR_VLBI,PMRA_VLBI,PMRA_ERR_VLBI,PMDEC_VLBI,PMDEC_ERR_VLBI,DESIGNATION,EPOCH,RA,RA_ERROR,DEC,DEC_ERROR,PI,PI_ERROR,PMRA,PMRA_ERROR,PMDEC,PMDEC_ERROR,RA_DEC_CORR,RA_PI_CORR,RA_PMRA_CORR,RA_PMDEC_CORR,DEC_PI_CORR,DEC_PMRA_CORR,DEC_PMDEC_CORR,PI_PMRA_CORR,PI_PMDEC_CORR,PMRA_PMDEC_CORR
SY Scl,2006.8282,1.901028361,15.1,-25.494452258,7.7,0.75,0.03,5.57,0.04,-7.32,0.12,2335529621301280640,2016.0,1.9010424860369064,0.10623879,-25.49446508368217,0.08249399,0.5247375761198506,0.121590994,5.718721394900531,0.13698415,-6.740050283784228,0.10104789,0.0030106031,0.020554477,0.38769534,-0.05107353,-0.111728616,-0.032941,0.47548172,-0.20279393,-0.31085998,0.113061115
S Per,2000.8884,35.715460833,7.818,58.586512222,8.0,0.413,0.017,-0.49,0.23,-1.19,0.2,459101393719884800,2016.0,35.71545970892247,0.04946629,58.58650423544022,0.05789772,-0.5032135771365704,0.08144344,-0.4804081916073758,0.07160342,-0.4704154420763833,0.07581899,0.058280606,-0.01403093,0.008415342,-0.26848456,-0.0183802,-0.2566847,-0.20126307,0.1192655,0.028733417,-0.10746917
LS I +61 303,1992.0,40.131935007,0.291,61.22933241,0.573,0.26,0.61,0.967,0.26,-1.21,0.32,465645515129855872,2016.0,40.131931264834,0.007332206,61.22933050838676,0.009209115,0.3776499061180831,0.012974979,-0.4234317475961283,0.011322314,-0.2555250178055092,0.011918911,0.069917,-0.017486885,-0.4292199,-0.08662367,0.07223479,-0.12345221,-0.19535072,0.1736169,-0.13651909,-0.06038007
HD 22468,1992.0,54.197113376,0.406,0.588121131,0.401,33.88,0.47,-31.588,0.33,-161.69,0.31,3263936692671872384,2016.0,54.196900129947615,0.026973907,0.5870418111533462,0.025800439,33.9783348253692,0.034927264,-32.24644685060421,0.036070317,-162.07324102056575,0.031702854,0.05824098,-0.04396567,-0.11409856,0.124420136,-0.44638312,0.029603673,0.31626663,0.108794935,-0.29982656,-0.083705544
V1271 Tau,2013.0,55.95146414,0.11,25.00422305,0.171,7.418,0.025,19.86,0.05,-45.41,0.16,69876712724339456,2016.0,55.951482385995824,0.023082243,25.004185022844748,0.0151871275,7.435405583801451,0.022914376,19.85967336466963,0.03172604,-45.6027373395702,0.02090213,-0.10682329,-0.09259022,-0.07144577,-0.006423257,-0.042621523,-0.007248274,0.27210507,-0.04118236,0.05785329,-0.13633056
V811 Tau,2013.0,56.338353995,0.118,23.727308022,0.198,7.223,0.057,19.47,0.11,-44.39,0.27,65190048708380160,2016.0,56.3383718087484,0.01299621,23.7272709540596,0.009856893,7.277032576643956,0.013647615,19.69124947738876,0.01705619,-44.56064014037388,0.012664601,-0.0002102061,0.09794955,-0.20463185,0.06310504,-0.19867781,0.1031452,0.11211804,-0.0610449,-0.10921563,0.08724877
V410 Tau,2015.76,64.629661292,0.021,28.454377914,0.034,7.751,0.027,8.703,0.017,-24.985,0.02,164518589131083136,2016.0,64.62966192674749,0.018599344,28.45437607930593,0.009378973,7.7302819632223025,0.021211926,8.846415731346589,0.025119968,-25.12935439280156,0.015922016,0.37419853,-0.0118892165,-0.29266542,-0.10787224,0.08007148,-0.13996689,0.3033754,0.3522114,-0.02329515,0.167631
HD 283572,2005.3525,65.495216792,0.264,28.3017698,0.05,7.78,0.04,8.88,0.06,-26.6,0.1,164536250037820160,2016.0,65.49524661321361,0.017776141,28.301691617649134,0.00882642,7.873458697336928,0.01900044,8.836782471533684,0.026595937,-26.42611944174361,0.016644321,0.21841988,-0.032707978,0.10723072,-0.2004289,0.12159434,-0.2257576,0.44547674,-0.07635046,-0.103731185,0.012288429
HD 283572,2005.36,65.495216803,0.032,28.301769751,0.035,7.841,0.057,9.023,0.061,-26.445,0.077,164536250037820160,2016.0,65.49524661321361,0.017776141,28.301691617649134,0.00882642,7.873458697336928,0.01900044,8.836782471533684,0.026595937,-26.42611944174361,0.016644321,0.21841988,-0.032707978,0.10723072,-0.2004289,0.12159434,-0.2257576,0.44547674,-0.07635046,-0.103731185,0.012288429
HD 283641,2015.95,66.20440907,0.065,26.719480101,0.085,6.285,0.07,10.913,0.037,-16.772,0.044,152104381299305600,2016.0,66.20440941935112,0.031378433,26.71947990764456,0.018288694,6.622795615621656,0.035817757,10.86516613408335,0.042310286,-16.761043951199856,0.029987043,0.35169336,0.15351346,0.03111491,-0.08252454,-0.12734841,-0.10616049,0.21281213,0.2304742,-0.020557594,0.22018076
V1961 Ori,2014.86,83.613911148,0.027,-5.406194168,0.028,2.533,0.027,-7.22,0.06,-0.99,0.08,3209424108758593408,2016.0,83.6139090217914,0.012576426,-5.406194535819061,0.010897843,2.572673027800726,0.01717193,-7.290866883751739,0.016409252,-0.8997953740044298,0.012909703,0.09105702,-0.17053618,-0.21546142,-0.08231988,-0.090421095,-0.042566035,-0.5660278,0.20352471,0.15682706,0.026773162
Brun 334,2015.18,83.665666567,0.023,-5.407112221,0.048,2.591,0.046,-4.01,0.08,-1.17,0.07,3017270879709003520,2016.0,83.665665931822,0.009433872,-5.407112469711981,0.008422935,2.5693400129263977,0.013846688,-3.735560308944137,0.0124555165,-0.887353840006699,0.010327549,-0.023114238,-0.13315319,-0.12212265,0.07191126,-0.041351184,0.10337969,-0.3645929,0.21382935,0.041507784,-0.13704436
V1321 Ori,2015.18,83.767921447,0.075,-5.136841216,0.182,2.509,0.044,0.06,0.2,6.95,0.16,3209531650444835840,2016.0,83.7679217779302,0.01004309,-5.136839654253488,0.009504516,2.5446936099951003,0.013918502,0.2634272624948149,0.012617451,7.172987929717448,0.011426897,0.2522542,-0.09403831,-0.2466531,-0.19257669,-0.16943613,-0.16801536,-0.50219303,0.13332406,0.15442386,0.13848153
TYC 5346-538-1,2015.2,85.64031991,0.058,-8.120884301,0.14,2.348,0.069,0.68,0.09,-0.51,0.25,3015742318027468288,2016.0,85.64032028462486,0.0091441935,-8.120884071691867,0.009602539,2.3632737325927584,0.012680078,0.5803154822814145,0.011631987,-0.1888329727201854,0.01158129,0.061584566,-0.027929122,-0.21571457,0.060615044,-0.02249596,0.104517266,-0.53133434,0.22587815,0.03534204,0.018251223
HD 290862,2015.21,86.680772978,0.491,0.076677687,0.643,2.197,0.545,0.35,0.27,0.83,0.83,3219148876788783488,2016.0,86.68077361578223,0.034102894,0.0766759445838839,0.03402629,2.358203461019767,0.04186648,-0.0183151504154658,0.045342144,-0.5467295498658218,0.039063457,-0.22406347,-0.124746196,-0.32885352,0.30061343,-0.2602391,0.4626883,-0.78395027,-0.008642807,0.33139658,-0.37656444
BH CVn,1993.1088,203.698997828,0.373,37.182433334,0.455,22.21,0.45,85.496,0.131,-9.22,0.16,1475118788534734592,2016.0,203.6996807618988,0.043965384,37.182371955123614,0.048192926,21.32734445109181,0.08918943,85.60928163834619,0.0434932,-9.549444437565004,0.051114902,0.27122265,-0.03237086,-0.092977546,0.08439031,0.06047946,0.058730897,0.31808323,-0.17639135,-0.27559683,0.29260144
S CrB,2000.0,230.34981701,NaN,31.3673814,NaN,2.36,0.23,-9.06,0.23,-12.52,0.29,1277100833181749760,2016.0,230.34976104471792,0.06721642,31.36732943534391,0.07913402,2.595548081139661,0.11424725,-10.149118330930293,0.08317898,-12.43188170013492,0.10201015,0.32024863,-0.22706811,-0.05361491,0.056703515,-0.14863962,0.059771407,0.023342354,-0.07157224,-0.0074603106,0.42315492
U Her,2000.0,246.44779864,NaN,18.8924599,NaN,3.74,0.61,-14.98,0.29,-9.23,0.32,1200834239913483392,2016.0,246.44772982948032,0.052429963,18.892416560020447,0.046828575,2.356780690489617,0.07696792,-14.883139011893922,0.0687647,-10.234502823937998,0.07225746,0.33084762,-0.15369174,0.25534683,0.16213875,-0.106959864,0.15649939,0.105487294,-0.18398082,0.011437915,0.42347908
Haro 1-6,2007.99,246.512566654,0.399,-24.393446456,0.356,7.385,0.234,-19.63,0.19,-26.92,0.13,6049142032584969088,2016.0,246.51251867033312,0.026002498,-24.39350624503321,0.0140761845,7.34389825154566,0.030771382,-19.79777142401077,0.044700183,-27.1463346199965,0.03250102,-0.4402254,0.1451051,-0.1246943,0.07944741,-0.14840317,0.023993747,0.3702697,0.15103707,-0.39235276,-0.5229013
DoAr 51,2014.75,248.049128879,0.337,-24.672768034,0.336,6.983,0.05,-4.8,0.08,-23.11,0.11,6047570826172040960,2016.0,248.0491251184696,0.15259436,-24.67277558221826,0.096165545,6.797336433014998,0.16356961,-4.211552176110282,0.21428591,-21.980533976620745,0.16894425,-0.16312754,-0.03794355,-0.31395116,0.011156708,-0.14586437,0.0047309683,-0.09211843,-0.027495738,-0.17320068,-0.29131788
RR Aql,2000.0,299.40024887,NaN,-1.88648296,NaN,1.58,0.4,-25.11,0.74,-49.82,0.54,4234448531043979520,2016.0,299.4001662047864,0.09709774,-1.8866951714737312,0.06529561,1.9532132203824943,0.113323,-20.424478888809787,0.1157384,-47.69355756535056,0.07575666,0.11026637,-0.23275466,0.08277843,-0.12590557,-0.13720223,-0.20829156,0.40081212,-0.14641863,-0.2862726,0.09536834
Cyg X-1,2009.57,299.590303145,0.5,35.201590284,0.5,0.547,0.041,-3.7,0.08,-6.42,0.14,2059383668236814720,2016.0,299.59029482904185,0.010937963,35.201578765113695,0.01300258,0.443901968474493,0.014949423,-3.812385175624448,0.014573607,-6.309893239635542,0.017452912,-0.1407248,-0.065376125,0.018097185,-0.15381882,0.074140586,-0.14617704,-0.17836937,0.04772878,-0.012111695,-0.15250795
Cyg X-1,1991.2498,299.590326964,0.308,35.20162223,0.368,0.73,0.3,-3.787,0.172,-6.25,0.21,2059383668236814720,2016.0,299.59029482904185,0.010937963,35.201578765113695,0.01300258,0.443901968474493,0.014949423,-3.812385175624448,0.014573607,-6.309893239635542,0.017452912,-0.1407248,-0.065376125,0.018097185,-0.15381882,0.074140586,-0.14617704,-0.17836937,0.04772878,-0.012111695,-0.15250795
HD 199178,1993.7933,313.473486712,0.332,44.386412565,0.397,8.59,0.33,26.595,0.407,-1.24,0.43,2162964329341318656,2016.0,313.4737146808538,0.011420703,44.386407242782255,0.013294957,8.891179780336985,0.014704551,26.450628082267205,0.014652615,-0.8771689424214563,0.015315577,-0.022061953,-0.011765603,-0.1609789,-0.13073856,0.16325516,-0.1615159,-0.25125557,-0.11877981,-0.13775367,-0.06748126
SS Cyg,2011.5661,325.678846337,0.065,43.586181392,0.07,8.8,0.12,112.42,0.07,33.38,0.07,1972957892448494592,2016.0,325.67903728580995,0.022185484,43.58622246872635,0.026066013,8.854121474475964,0.030379275,112.38500220794307,0.02946335,33.31484221196361,0.032866023,0.033421297,0.024994895,-0.16519524,-0.15199244,0.0008037203,-0.16437607,-0.2914972,-0.023666812,0.020863771,0.066231996
AR Lac,1992.4353,332.17023291,0.274,45.742153188,0.361,23.97,0.37,-52.08,0.126,47.03,0.19,1962909425622345728,2016.0,332.16974273562016,0.017546033,45.74246076572013,0.017254569,23.52456673331771,0.022838078,-52.31041861346616,0.020917393,46.93073250092251,0.019514069,-0.27850813,-0.07603133,-0.38653418,0.08905461,0.21067072,0.057889316,-0.35938916,-0.10581412,-0.059627805,-0.24188732
IM Peg,2005.0869,343.259410883,0.4,16.841155569,0.39,10.37,0.074,-20.833,0.09,-27.267,0.095,2829193299742131328,2016.0,343.25934495052536,0.056477055,16.841072624587767,0.04853269,10.165515134202751,0.06529338,-21.1847114685038,0.0628565,-27.443590022478347,0.059974723,-0.12108313,0.45310086,-0.062072895,-0.27116594,-0.29000765,-0.1819203,-0.012134394,0.0039815884,-0.23757227,0.06543277
IM Peg,1992.9172,343.259484359,0.36,16.841247861,0.392,10.28,0.62,-20.587,0.459,-27.53,0.4,2829193299742131328,2016.0,343.25934495052536,0.056477055,16.841072624587767,0.04853269,10.165515134202751,0.06529338,-21.1847114685038,0.0628565,-27.443590022478347,0.059974723,-0.12108313,0.45310086,-0.062072895,-0.27116594,-0.29000765,-0.1819203,-0.012134394,0.0039815884,-0.23757227,0.06543277
PZ Cas,2006.2998,356.013673333,2.836,61.789496389,3.0,0.356,0.026,-3.7,0.2,-2.0,0.3,2012859963999694848,2016.0,356.01363494652674,0.032754876,61.789488374741616,0.032312192,0.3553647520592062,0.04104967,-4.003733281500388,0.045152053,-2.003214080001603,0.040431466,-0.1894634,-0.051266048,-0.016274303,-0.10283564,0.18301088,-0.122482374,0.13740984,-0.06152372,0.12757787,-0.2471565
